experiment,timestamp,dataset,nhid,kernel_size,dropout,batch_size,n_epochs,lr,seed,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_auc,std_auc
pc_gita_baseline,2026-05-25 11:29:54,pc-gita,32,3,0.0,32,200,0.001,42,0.63,0.1076,0.6559,0.1497,0.59,0.1256,0.67,0.1609,0.6141,0.1076,0.6888,0.1274
pc_gita_dropout02,2026-06-16 21:01:41,pc-gita,32,3,0.2,32,200,0.001,42,0.605,0.1006,0.6656,0.1895,0.4933,0.1273,0.7167,0.1728,0.5535,0.1042,0.6936,0.127
pc_gita_nhid64_dropout00,2026-05-31 10:26:31,pc-gita,64,3,0.0,32,200,0.001,42,0.6383,0.1075,0.6548,0.1268,0.58,0.1371,0.6967,0.107,0.613,0.1273,0.6933,0.1216
pc_gita_nhid64_dropout02,2026-05-31 12:07:45,pc-gita,64,3,0.2,32,200,0.001,42,0.6567,0.1175,0.6577,0.1161,0.65,0.1414,0.6633,0.1145,0.6523,0.1237,0.7035,0.1276
pc_gita_nhid64_dropout02_lr4,2026-06-15 23:35:36,pc-gita,64,3,0.2,32,200,0.0001,42,0.6183,0.0701,0.6507,0.0588,0.4933,0.2317,0.7433,0.1188,0.5386,0.1723,0.6895,0.0979
neurovoz_baseline,2026-06-17 16:07:04,neurovoz,32,3,0.0,32,200,0.001,42,0.5397,0.0267,0.5953,0.0294,0.5727,0.0911,0.4978,0.1057,0.5804,0.0436,0.5608,0.0527
neurovoz_dropout02,2026-06-15 21:18:32,neurovoz,32,3,0.2,32,200,0.001,42,0.533,0.031,0.5955,0.0202,0.5331,0.1483,0.5336,0.1363,0.5532,0.0826,0.5599,0.041
neurovoz_nhid64_dropout00,2026-06-05 11:02:14,neurovoz,64,3,0.0,32,200,0.001,42,0.5684,0.0169,0.6254,0.0416,0.6035,0.1131,0.5237,0.1476,0.607,0.0455,0.5918,0.0507
neurovoz_nhid64_dropout0.2,2026-06-05 13:07:28,neurovoz,64,3,0.2,32,200,0.001,42,0.5642,0.0545,0.6316,0.0709,0.5568,0.1192,0.574,0.1313,0.5854,0.0661,0.5943,0.0543
neurovoz_nhid64_dropout0.2_lr4,2026-06-05 17:28:05,neurovoz,64,3,0.2,32,200,0.0001,42,0.5615,0.0315,0.6485,0.071,0.5259,0.1539,0.6072,0.1987,0.5644,0.0796,0.59,0.0449
c
