experiment,timestamp,dataset,nhid,kernel_size,dropout,batch_size,n_epochs,lr,seed,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_auc,std_auc
pc_gita_baseline,2026-06-05 10:04:49,pc-gita,32,3,0.0,32,200,0.001,42,0.6533,0.1134,0.6575,0.1198,0.6467,0.1266,0.66,0.1283,0.6502,0.1161,0.6927,0.1184
pc_gita_dropout0.2,2026-06-05 11:11:43,pc-gita,32,3,0.2,32,200,0.001,42,0.655,0.1078,0.6647,0.1175,0.66,0.1182,0.65,0.174,0.6568,0.0987,0.6897,0.1306
pc_gita_nhid64_dropout00,2026-06-02 00:13:37,pc-gita,64,3,0.0,32,200,0.001,42,0.6683,0.0742,0.6743,0.0917,0.6667,0.0928,0.67,0.1095,0.6673,0.0735,0.7026,0.1043
pc_gita_nhid64_dropout02,2026-06-05 08:15:30,pc-gita,64,3,0.2,32,200,0.001,42,0.645,0.0835,0.6545,0.0988,0.63,0.0989,0.66,0.1146,0.6391,0.0836,0.6961,0.1076
pc_gita_nhid64_dropout0.2_lr4,2026-06-05 16:57:24,pc-gita,64,3,0.2,32,200,0.0001,42,0.6367,0.0666,0.6561,0.1023,0.6367,0.1552,0.6367,0.1887,0.6311,0.0795,0.6721,0.0808
neurovoz_drop00,2026-06-08 15:42:58,neurovoz,32,3,0.0,32,200,0.001,42,0.5467,0.0707,0.6173,0.0723,0.5025,0.1635,0.6033,0.1526,0.5434,0.1226,0.5929,0.0739
neurovoz_drop02,2026-06-08 16:41:16,neurovoz,32,3,0.2,32,200,0.001,42,0.5753,0.0615,0.6213,0.0493,0.6202,0.1155,0.5179,0.0851,0.6178,0.0742,0.5999,0.062
neurovoz_nhid64_drop00,2026-06-08 18:10:51,neurovoz,64,3,0.0,32,200,0.001,42,0.5556,0.0623,0.6065,0.0537,0.5777,0.1395,0.5279,0.0957,0.5868,0.098,0.5708,0.0772
neurovoz_nhid64_drop02,2026-06-08 19:50:45,neurovoz,64,3,0.2,32,200,0.001,42,0.5594,0.0163,0.6177,0.026,0.5762,0.0809,0.5381,0.1051,0.5929,0.0358,0.5845,0.031
neurovoz_nhid64_drop02_lr4,2026-06-08 22:33:22,neurovoz,64,3,0.2,32,200,0.0001,42,0.5509,0.0474,0.5905,0.0409,0.6705,0.0597,0.3976,0.1181,0.6263,0.0335,0.5792,0.0601
