filename,snr_db
AVPEPUDEAC0012a3.wav,0.88
AVPEPUDEAC0024e3.wav,1.03
AVPEPUDEA0010a1.wav,1.41
AVPEPUDEA0045a1.wav,1.58
AVPEPUDEAC0057e2.wav,1.64
AVPEPUDEA0010a3.wav,1.73
AVPEPUDEA0023a3.wav,1.74
AVPEPUDEAC0016a2.wav,1.75
AVPEPUDEAC0046e2.wav,1.76
AVPEPUDEAC0012e1.wav,1.78
AVPEPUDEAC0024e2.wav,1.8
AVPEPUDEAC0049a3.wav,1.81
AVPEPUDEAC0012a2.wav,1.82
AVPEPUDEAC0054a3.wav,1.82
AVPEPUDEAC0012a1.wav,1.87
AVPEPUDEAC0013e3.wav,1.88
AVPEPUDEAC0050e3.wav,1.97
AVPEPUDEAC0051e1.wav,1.98
AVPEPUDEAC0054e2.wav,2.0
AVPEPUDEAC0014a2.wav,2.0
AVPEPUDEA0059e2.wav,2.01
AVPEPUDEAC0047e1.wav,2.02
AVPEPUDEAC0057a3.wav,2.09
AVPEPUDEAC0024a2.wav,2.1
AVPEPUDEAC0034a3.wav,2.1
AVPEPUDEAC0024a1.wav,2.15
AVPEPUDEA0023e3.wav,2.16
AVPEPUDEA0025a1.wav,2.2
AVPEPUDEAC0034e3.wav,2.21
AVPEPUDEAC0005a2.wav,2.22
AVPEPUDEAC0016e3.wav,2.27
AVPEPUDEA0026e2.wav,2.28
AVPEPUDEA0025e1.wav,2.32
AVPEPUDEA0020e1.wav,2.32
AVPEPUDEAC0024a3.wav,2.33
AVPEPUDEAC0014a1.wav,2.36
AVPEPUDEAC0014e1.wav,2.36
AVPEPUDEA0026a3.wav,2.37
AVPEPUDEAC0051e3.wav,2.38
AVPEPUDEAC0014e2.wav,2.43
AVPEPUDEAC0012e3.wav,2.45
AVPEPUDEAC0017e2.wav,2.46
AVPEPUDEAC0016a1.wav,2.52
AVPEPUDEAC0054e3.wav,2.52
AVPEPUDEAC0020e2.wav,2.52
AVPEPUDEA0058e2.wav,2.53
AVPEPUDEAC0010a1.wav,2.55
AVPEPUDEAC0007e2.wav,2.56
AVPEPUDEA0026a2.wav,2.57
AVPEPUDEA0026a1.wav,2.57
AVPEPUDEAC0033e2.wav,2.59
AVPEPUDEAC0020e3.wav,2.59
AVPEPUDEAC0020e1.wav,2.66
AVPEPUDEAC0023a2.wav,2.71
AVPEPUDEAC0023e2.wav,2.79
AVPEPUDEAC0051a2.wav,2.81
AVPEPUDEA0016e2.wav,2.83
AVPEPUDEAC0022a2.wav,2.9
AVPEPUDEAC0051a1.wav,2.94
AVPEPUDEAC0021e2.wav,2.94
AVPEPUDEA0025a3.wav,2.96
AVPEPUDEA0058e3.wav,2.97
AVPEPUDEAC0013a3.wav,3.0
AVPEPUDEAC0033e3.wav,3.0
AVPEPUDEAC0031e1.wav,3.0
AVPEPUDEAC0011a3.wav,3.01
AVPEPUDEA0037a3.wav,3.02
AVPEPUDEAC0004a3.wav,3.04
AVPEPUDEAC0031a2.wav,3.04
AVPEPUDEAC0024e1.wav,3.05
AVPEPUDEAC0034a1.wav,3.06
AVPEPUDEAC0052e3.wav,3.08
AVPEPUDEA0017e3.wav,3.1
AVPEPUDEAC0033a2.wav,3.12
AVPEPUDEAC0005e3.wav,3.12
AVPEPUDEAC0010a3.wav,3.15
AVPEPUDEA0011a1.wav,3.17
AVPEPUDEAC0011e3.wav,3.19
AVPEPUDEAC0050e2.wav,3.19
AVPEPUDEAC0043e1.wav,3.2
AVPEPUDEAC0026e3.wav,3.21
AVPEPUDEA0020a3.wav,3.21
AVPEPUDEA0032a2.wav,3.28
AVPEPUDEA0058a3.wav,3.3
AVPEPUDEAC0034e1.wav,3.32
AVPEPUDEAC0005a1.wav,3.33
AVPEPUDEAC0049e3.wav,3.35
AVPEPUDEAC0005e1.wav,3.36
AVPEPUDEA0022a2.wav,3.41
AVPEPUDEA0020a1.wav,3.41
AVPEPUDEA0037a1.wav,3.49
AVPEPUDEA0017e2.wav,3.53
AVPEPUDEAC0013e2.wav,3.53
AVPEPUDEAC0021e1.wav,3.54
AVPEPUDEAC0028e3.wav,3.55
AVPEPUDEAC0047a1.wav,3.59
AVPEPUDEA0032e1.wav,3.61
AVPEPUDEAC0014e3.wav,3.62
AVPEPUDEA0038e1.wav,3.64
AVPEPUDEAC0051e2.wav,3.65
AVPEPUDEA0013a1.wav,3.68
AVPEPUDEA0009e1.wav,3.71
AVPEPUDEA0050a2.wav,3.71
AVPEPUDEA0042e2.wav,3.73
AVPEPUDEAC0035a1.wav,3.76
AVPEPUDEA0026e3.wav,3.79
AVPEPUDEA0037a2.wav,3.8
AVPEPUDEAC0050a2.wav,3.81
AVPEPUDEA0042a3.wav,3.82
AVPEPUDEA0001e1.wav,3.82
AVPEPUDEA0032e3.wav,3.83
AVPEPUDEA0030a1.wav,3.86
AVPEPUDEAC0050e1.wav,3.87
AVPEPUDEAC0053a1.wav,3.88
AVPEPUDEAC0046e3.wav,3.88
AVPEPUDEAC0049e1.wav,3.9
AVPEPUDEA0041a3.wav,3.92
AVPEPUDEA0042e1.wav,3.94
AVPEPUDEA0026e1.wav,3.98
AVPEPUDEAC0004e2.wav,4.0
AVPEPUDEAC0049a2.wav,4.01
AVPEPUDEAC0012e2.wav,4.02
AVPEPUDEAC0037e1.wav,4.03
AVPEPUDEAC0039a1.wav,4.06
AVPEPUDEAC0015e2.wav,4.09
AVPEPUDEAC0004e3.wav,4.09
AVPEPUDEAC0031a3.wav,4.1
AVPEPUDEA0022e2.wav,4.11
AVPEPUDEAC0016e2.wav,4.11
AVPEPUDEA0005a2.wav,4.11
AVPEPUDEAC0050a3.wav,4.12
AVPEPUDEA0031e1.wav,4.12
AVPEPUDEAC0054a2.wav,4.12
AVPEPUDEA0013e1.wav,4.13
AVPEPUDEAC0010e2.wav,4.14
AVPEPUDEAC0042e1.wav,4.17
AVPEPUDEAC0020a1.wav,4.22
AVPEPUDEA0042e3.wav,4.22
AVPEPUDEAC0035e3.wav,4.24
AVPEPUDEAC0034a2.wav,4.24
AVPEPUDEAC0049e2.wav,4.25
AVPEPUDEAC0028e1.wav,4.25
AVPEPUDEAC0034e2.wav,4.25
AVPEPUDEAC0022e1.wav,4.26
AVPEPUDEA0045a2.wav,4.27
AVPEPUDEAC0007e1.wav,4.29
AVPEPUDEAC0003a3.wav,4.3
AVPEPUDEAC0053e2.wav,4.3
AVPEPUDEA0059e3.wav,4.33
AVPEPUDEAC0015a2.wav,4.33
AVPEPUDEAC0013e1.wav,4.35
AVPEPUDEAC0027a2.wav,4.39
AVPEPUDEA0009e2.wav,4.4
AVPEPUDEAC0017e1.wav,4.41
AVPEPUDEAC0021e3.wav,4.44
AVPEPUDEAC0005e2.wav,4.47
AVPEPUDEA0050a3.wav,4.47
AVPEPUDEA0030e3.wav,4.49
AVPEPUDEAC0041a3.wav,4.49
AVPEPUDEAC0023a1.wav,4.5
AVPEPUDEAC0033a3.wav,4.55
AVPEPUDEA0049e3.wav,4.56
AVPEPUDEAC0051a3.wav,4.58
AVPEPUDEAC0004a2.wav,4.58
AVPEPUDEAC0017a2.wav,4.6
AVPEPUDEAC0052e1.wav,4.6
AVPEPUDEA0047a2.wav,4.61
AVPEPUDEAC0015a3.wav,4.64
AVPEPUDEAC0014a3.wav,4.65
AVPEPUDEA0014a1.wav,4.66
AVPEPUDEA0038a1.wav,4.67
AVPEPUDEAC0022e3.wav,4.67
AVPEPUDEAC0006e2.wav,4.68
AVPEPUDEAC0016a3.wav,4.69
AVPEPUDEA0031a3.wav,4.7
AVPEPUDEAC0040a2.wav,4.71
AVPEPUDEA0007a3.wav,4.71
AVPEPUDEAC0025a2.wav,4.71
AVPEPUDEA0032e2.wav,4.75
AVPEPUDEA0054e1.wav,4.76
AVPEPUDEA0005e3.wav,4.77
AVPEPUDEAC0026e1.wav,4.8
AVPEPUDEA0014e2.wav,4.82
AVPEPUDEAC0052a3.wav,4.82
AVPEPUDEA0010e2.wav,4.82
AVPEPUDEAC0006a2.wav,4.83
AVPEPUDEAC0011e2.wav,4.85
AVPEPUDEA0008e1.wav,4.87
AVPEPUDEA0013a2.wav,4.9
AVPEPUDEA0058a1.wav,4.9
AVPEPUDEAC0054e1.wav,4.91
AVPEPUDEAC0030e2.wav,4.93
AVPEPUDEAC0052a2.wav,4.94
AVPEPUDEA0022a3.wav,4.94
AVPEPUDEAC0057a1.wav,4.95
AVPEPUDEAC0019e1.wav,4.96
AVPEPUDEAC0057a2.wav,4.97
AVPEPUDEA0051a3.wav,4.99
AVPEPUDEAC0053a2.wav,5.0
AVPEPUDEA0047e2.wav,5.0
AVPEPUDEAC0011a2.wav,5.01
AVPEPUDEA0047a3.wav,5.04
AVPEPUDEA0027a1.wav,5.1
AVPEPUDEA0050e3.wav,5.12
AVPEPUDEA0009e3.wav,5.14
AVPEPUDEAC0030a2.wav,5.14
AVPEPUDEA0031a2.wav,5.14
AVPEPUDEAC0008a1.wav,5.16
AVPEPUDEAC0010e3.wav,5.16
AVPEPUDEAC0018a1.wav,5.16
AVPEPUDEAC0030e1.wav,5.18
AVPEPUDEAC0041e1.wav,5.18
AVPEPUDEAC0046a3.wav,5.21
AVPEPUDEA0058a2.wav,5.23
AVPEPUDEAC0017a1.wav,5.24
AVPEPUDEA0043a3.wav,5.25
AVPEPUDEA0011e1.wav,5.27
AVPEPUDEAC0037a2.wav,5.27
AVPEPUDEA0031e3.wav,5.27
AVPEPUDEAC0021a1.wav,5.29
AVPEPUDEA0021e3.wav,5.29
AVPEPUDEA0041e2.wav,5.3
AVPEPUDEA0001e2.wav,5.31
AVPEPUDEAC0046e1.wav,5.33
AVPEPUDEAC0044e1.wav,5.34
AVPEPUDEAC0029e3.wav,5.35
AVPEPUDEA0025e2.wav,5.36
AVPEPUDEA0045e1.wav,5.37
AVPEPUDEAC0044a3.wav,5.38
AVPEPUDEAC0040a1.wav,5.4
AVPEPUDEA0032a3.wav,5.42
AVPEPUDEAC0028a1.wav,5.43
AVPEPUDEAC0053e3.wav,5.44
AVPEPUDEA0042a1.wav,5.45
AVPEPUDEA0022e1.wav,5.45
AVPEPUDEA0032a1.wav,5.46
AVPEPUDEA0037e2.wav,5.46
AVPEPUDEAC0022e2.wav,5.46
AVPEPUDEA0013a3.wav,5.46
AVPEPUDEA0010a2.wav,5.48
AVPEPUDEA0031a1.wav,5.49
AVPEPUDEAC0031e2.wav,5.5
AVPEPUDEAC0041e3.wav,5.52
AVPEPUDEAC0044e3.wav,5.53
AVPEPUDEA0005e2.wav,5.54
AVPEPUDEAC0025e1.wav,5.56
AVPEPUDEAC0021a3.wav,5.56
AVPEPUDEAC0021a2.wav,5.57
AVPEPUDEA0059a3.wav,5.57
AVPEPUDEA0034a1.wav,5.58
AVPEPUDEAC0042a1.wav,5.58
AVPEPUDEAC0057e3.wav,5.6
AVPEPUDEA0039e2.wav,5.6
AVPEPUDEAC0008e1.wav,5.61
AVPEPUDEAC0019a3.wav,5.61
AVPEPUDEA0001a2.wav,5.62
AVPEPUDEAC0035e2.wav,5.63
AVPEPUDEA0009a3.wav,5.64
AVPEPUDEA0034a2.wav,5.65
AVPEPUDEAC0011e1.wav,5.65
AVPEPUDEA0057e2.wav,5.66
AVPEPUDEAC0045e1.wav,5.68
AVPEPUDEAC0001e1.wav,5.69
AVPEPUDEAC0053e1.wav,5.69
AVPEPUDEA0007e3.wav,5.69
AVPEPUDEAC0001e3.wav,5.69
AVPEPUDEA0050a1.wav,5.71
AVPEPUDEAC0007a2.wav,5.71
AVPEPUDEA0049e2.wav,5.72
AVPEPUDEA0051e1.wav,5.72
AVPEPUDEAC0044a1.wav,5.73
AVPEPUDEA0001a1.wav,5.73
AVPEPUDEAC0045e2.wav,5.74
AVPEPUDEA0022a1.wav,5.77
AVPEPUDEA0003e3.wav,5.77
AVPEPUDEAC0043e2.wav,5.78
AVPEPUDEA0025a2.wav,5.78
AVPEPUDEAC0020a2.wav,5.81
AVPEPUDEAC0004a1.wav,5.81
AVPEPUDEAC0048e3.wav,5.82
AVPEPUDEA0050e2.wav,5.82
AVPEPUDEAC0016e1.wav,5.83
AVPEPUDEAC0044e2.wav,5.84
AVPEPUDEA0021a3.wav,5.84
AVPEPUDEA0058e1.wav,5.85
AVPEPUDEA0027a3.wav,5.88
AVPEPUDEAC0033a1.wav,5.89
AVPEPUDEAC0003e1.wav,5.9
AVPEPUDEAC0001a1.wav,5.94
AVPEPUDEA0059a1.wav,5.95
AVPEPUDEA0024a1.wav,5.96
AVPEPUDEA0022e3.wav,5.96
AVPEPUDEAC0045a2.wav,5.97
AVPEPUDEA0052a2.wav,5.98
AVPEPUDEA0003a3.wav,5.99
AVPEPUDEA0015a1.wav,6.01
AVPEPUDEA0031e2.wav,6.03
AVPEPUDEA0020e2.wav,6.06
AVPEPUDEAC0007e3.wav,6.07
AVPEPUDEA0029e1.wav,6.08
AVPEPUDEA0005a3.wav,6.08
AVPEPUDEAC0003a2.wav,6.1
AVPEPUDEA0051e3.wav,6.11
AVPEPUDEA0017a2.wav,6.14
AVPEPUDEA0017e1.wav,6.15
AVPEPUDEA0017a1.wav,6.16
AVPEPUDEA0042a2.wav,6.17
AVPEPUDEA0023e2.wav,6.17
AVPEPUDEA0047e3.wav,6.19
AVPEPUDEA0016e3.wav,6.2
AVPEPUDEAC0043a3.wav,6.2
AVPEPUDEAC0033e1.wav,6.21
AVPEPUDEA0020a2.wav,6.21
AVPEPUDEAC0052a1.wav,6.22
AVPEPUDEAC0005a3.wav,6.23
AVPEPUDEAC0027a3.wav,6.23
AVPEPUDEAC0025e2.wav,6.25
AVPEPUDEAC0050a1.wav,6.26
AVPEPUDEA0047a1.wav,6.27
AVPEPUDEAC0017e3.wav,6.28
AVPEPUDEAC0010a2.wav,6.29
AVPEPUDEAC0030a3.wav,6.31
AVPEPUDEA0016a2.wav,6.32
AVPEPUDEAC0008a3.wav,6.34
AVPEPUDEA0057e1.wav,6.35
AVPEPUDEA0030a2.wav,6.36
AVPEPUDEA0053a1.wav,6.37
AVPEPUDEAC0052e2.wav,6.38
AVPEPUDEA0054e2.wav,6.39
AVPEPUDEA0053e1.wav,6.39
AVPEPUDEAC0030a1.wav,6.41
AVPEPUDEA0011a2.wav,6.43
AVPEPUDEA0051e2.wav,6.43
AVPEPUDEA0043e1.wav,6.45
AVPEPUDEAC0022a3.wav,6.45
AVPEPUDEAC0046a2.wav,6.5
AVPEPUDEA0037e3.wav,6.5
AVPEPUDEAC0023e1.wav,6.52
AVPEPUDEAC0040a3.wav,6.52
AVPEPUDEA0057a2.wav,6.53
AVPEPUDEA0038e2.wav,6.53
AVPEPUDEA0055a3.wav,6.54
AVPEPUDEA0015e3.wav,6.56
AVPEPUDEA0051a1.wav,6.58
AVPEPUDEAC0018a2.wav,6.58
AVPEPUDEA0037e1.wav,6.63
AVPEPUDEAC0041a1.wav,6.66
AVPEPUDEA0035a1.wav,6.67
AVPEPUDEA0013e2.wav,6.69
AVPEPUDEAC0042a3.wav,6.69
AVPEPUDEAC0023a3.wav,6.7
AVPEPUDEAC0027e2.wav,6.74
AVPEPUDEAC0003e2.wav,6.74
AVPEPUDEA0008a1.wav,6.74
AVPEPUDEAC0049a1.wav,6.76
AVPEPUDEAC0042a2.wav,6.77
AVPEPUDEA0001e3.wav,6.77
AVPEPUDEA0024e1.wav,6.79
AVPEPUDEA0005e1.wav,6.79
AVPEPUDEAC0027e1.wav,6.8
AVPEPUDEA0025e3.wav,6.84
AVPEPUDEA0007e2.wav,6.88
AVPEPUDEAC0031e3.wav,6.89
AVPEPUDEA0011e2.wav,6.89
AVPEPUDEAC0054a1.wav,6.92
AVPEPUDEA0001a3.wav,6.92
AVPEPUDEA0003a1.wav,6.92
AVPEPUDEA0059e1.wav,6.93
AVPEPUDEA0054a1.wav,6.94
AVPEPUDEA0006e2.wav,6.94
AVPEPUDEAC0057e1.wav,6.95
AVPEPUDEA0015e1.wav,6.96
AVPEPUDEAC0023e3.wav,6.99
AVPEPUDEAC0018e1.wav,6.99
AVPEPUDEAC0043a1.wav,7.0
AVPEPUDEA0015e2.wav,7.02
AVPEPUDEAC0035a2.wav,7.05
AVPEPUDEAC0028e2.wav,7.05
AVPEPUDEAC0017a3.wav,7.05
AVPEPUDEA0006e3.wav,7.07
AVPEPUDEA0046a2.wav,7.11
AVPEPUDEA0050e1.wav,7.17
AVPEPUDEA0023a2.wav,7.17
AVPEPUDEAC0046a1.wav,7.18
AVPEPUDEAC0026a1.wav,7.21
AVPEPUDEAC0026e2.wav,7.25
AVPEPUDEAC0028a2.wav,7.29
AVPEPUDEA0046a1.wav,7.29
AVPEPUDEA0007a2.wav,7.31
AVPEPUDEAC0007a3.wav,7.32
AVPEPUDEAC0043a2.wav,7.32
AVPEPUDEA0023a1.wav,7.33
AVPEPUDEA0016a1.wav,7.36
AVPEPUDEA0014e3.wav,7.43
AVPEPUDEAC0037e3.wav,7.44
AVPEPUDEAC0043e3.wav,7.48
AVPEPUDEAC0028a3.wav,7.5
AVPEPUDEAC0019e3.wav,7.5
AVPEPUDEA0039a2.wav,7.51
AVPEPUDEA0045e2.wav,7.54
AVPEPUDEAC0048a2.wav,7.55
AVPEPUDEAC0011a1.wav,7.55
AVPEPUDEAC0010e1.wav,7.56
AVPEPUDEAC0027a1.wav,7.59
AVPEPUDEAC0047a2.wav,7.59
AVPEPUDEA0043e3.wav,7.62
AVPEPUDEAC0042e2.wav,7.62
AVPEPUDEA0008a2.wav,7.64
AVPEPUDEA0020e3.wav,7.66
AVPEPUDEA0038a2.wav,7.67
AVPEPUDEA0017a3.wav,7.68
AVPEPUDEA0034e1.wav,7.7
AVPEPUDEAC0026a3.wav,7.72
AVPEPUDEAC0053a3.wav,7.72
AVPEPUDEA0043a1.wav,7.73
AVPEPUDEA0002a2.wav,7.74
AVPEPUDEA0052e3.wav,7.74
AVPEPUDEA0048e1.wav,7.75
AVPEPUDEAC0045e3.wav,7.75
AVPEPUDEA0023e1.wav,7.76
AVPEPUDEA0009a1.wav,7.84
AVPEPUDEAC0040e3.wav,7.84
AVPEPUDEA0027e1.wav,7.85
AVPEPUDEA0055e2.wav,7.87
AVPEPUDEA0010e1.wav,7.89
AVPEPUDEAC0041a2.wav,7.89
AVPEPUDEAC0019a1.wav,7.9
AVPEPUDEAC0019e2.wav,7.91
AVPEPUDEA0015a3.wav,7.93
AVPEPUDEA0013e3.wav,7.95
AVPEPUDEAC0015e3.wav,7.96
AVPEPUDEA0030e1.wav,7.97
AVPEPUDEA0057e3.wav,8.03
AVPEPUDEA0035e1.wav,8.04
AVPEPUDEA0052a1.wav,8.05
AVPEPUDEAC0030e3.wav,8.05
AVPEPUDEAC0031a1.wav,8.06
AVPEPUDEAC0045a1.wav,8.09
AVPEPUDEA0048e3.wav,8.1
AVPEPUDEA0046e1.wav,8.11
AVPEPUDEA0053e2.wav,8.13
AVPEPUDEA0029a1.wav,8.17
AVPEPUDEA0027a2.wav,8.2
AVPEPUDEA0047e1.wav,8.23
AVPEPUDEA0056e1.wav,8.24
AVPEPUDEAC0041e2.wav,8.26
AVPEPUDEAC0025a1.wav,8.27
AVPEPUDEA0048a3.wav,8.34
AVPEPUDEA0046e2.wav,8.36
AVPEPUDEAC0042e3.wav,8.38
AVPEPUDEA0054a2.wav,8.39
AVPEPUDEAC0006a3.wav,8.39
AVPEPUDEA0030e2.wav,8.42
AVPEPUDEA0008a3.wav,8.42
AVPEPUDEAC0047e2.wav,8.43
AVPEPUDEA0007e1.wav,8.52
AVPEPUDEA0029e3.wav,8.53
AVPEPUDEA0043e2.wav,8.59
AVPEPUDEAC0001e2.wav,8.59
AVPEPUDEA0007a1.wav,8.63
AVPEPUDEAC0003a1.wav,8.65
AVPEPUDEA0041a2.wav,8.69
AVPEPUDEAC0006a1.wav,8.77
AVPEPUDEA0045e3.wav,8.79
AVPEPUDEAC0037e2.wav,8.83
AVPEPUDEAC0045a3.wav,8.84
AVPEPUDEAC0003e3.wav,8.85
AVPEPUDEAC0007a1.wav,8.89
AVPEPUDEAC0048a3.wav,8.94
AVPEPUDEAC0015a1.wav,8.95
AVPEPUDEA0005a1.wav,8.95
AVPEPUDEA0048a2.wav,8.97
AVPEPUDEA0024a3.wav,8.98
AVPEPUDEA0015a2.wav,9.0
AVPEPUDEA0056a3.wav,9.07
AVPEPUDEAC0015e1.wav,9.11
AVPEPUDEA0057a1.wav,9.12
AVPEPUDEAC0019a2.wav,9.15
AVPEPUDEA0049a3.wav,9.16
